go_term,bg_count,top_count,p_value,q_value
cardiac neural crest cell development involved in outflow tract morphogenesis,8,1,0.04757007109425195,0.09383964287993246
positive regulation of amyloid fibril formation,8,1,0.04757007109425195,0.09383964287993246
negative regulation of calcium ion transport into cytosol,8,1,0.04757007109425195,0.09383964287993246
negative regulation of lipoprotein lipase activity,8,1,0.04757007109425195,0.09383964287993246
negative regulation of bile acid biosynthetic process,8,1,0.04757007109425195,0.09383964287993246
positive regulation of intracellular mRNA localization,8,1,0.04757007109425195,0.09383964287993246
positive regulation of phospholipid efflux,8,1,0.04757007109425195,0.09383964287993246
lymph vessel morphogenesis,8,1,0.04757007109425195,0.09383964287993246
large conductance calcium-activated potassium channel activity,8,1,0.04757007109425195,0.09383964287993246
cellular response to erythropoietin,8,1,0.04757007109425195,0.09383964287993246
lipoprotein particle receptor binding,8,1,0.04757007109425195,0.09383964287993246
hair follicle placode formation,8,1,0.04757007109425195,0.09383964287993246
regulation of morphogenesis of a branching structure,8,1,0.04757007109425195,0.09383964287993246
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,8,1,0.04757007109425195,0.09383964287993246
beta-adrenergic receptor kinase activity,8,1,0.04757007109425195,0.09383964287993246
XPC complex,8,1,0.04757007109425195,0.09383964287993246
regulation of lymphocyte differentiation,8,1,0.04757007109425195,0.09383964287993246
"asymmetric, glutamatergic, excitatory synapse",8,1,0.04757007109425195,0.09383964287993246
"positive regulation of CD4-positive, alpha-beta T cell activation",8,1,0.04757007109425195,0.09383964287993246
sensory system development,8,1,0.04757007109425195,0.09383964287993246
regulation of protein autophosphorylation,8,1,0.04757007109425195,0.09383964287993246
laminin-511 trimer,8,1,0.04757007109425195,0.09383964287993246
regulation of transforming growth factor beta2 production,8,1,0.04757007109425195,0.09383964287993246
JUN kinase kinase activity,8,1,0.04757007109425195,0.09383964287993246
"inositol-1,3,4-trisphosphate 6-kinase activity",8,1,0.04757007109425195,0.09383964287993246
regulation of endothelial tube morphogenesis,8,1,0.04757007109425195,0.09383964287993246
negative regulation of adiponectin secretion,8,1,0.04757007109425195,0.09383964287993246
negative regulation of cell projection organization,8,1,0.04757007109425195,0.09383964287993246
prolactin signaling pathway,8,1,0.04757007109425195,0.09383964287993246
response to vitamin,8,1,0.04757007109425195,0.09383964287993246
regulation of actin filament depolymerization,8,1,0.04757007109425195,0.09383964287993246
regulation of endothelial cell apoptotic process,8,1,0.04757007109425195,0.09383964287993246
T-helper 1 cell lineage commitment,8,1,0.04757007109425195,0.09383964287993246
positive regulation of cell proliferation involved in heart morphogenesis,8,1,0.04757007109425195,0.09383964287993246
alphav-beta3 integrin-IGF-1-IGF1R complex,8,1,0.04757007109425195,0.09383964287993246
nephric duct morphogenesis,8,1,0.04757007109425195,0.09383964287993246
SWI/SNF superfamily-type complex,8,1,0.04757007109425195,0.09383964287993246
positive regulation of cardioblast differentiation,8,1,0.04757007109425195,0.09383964287993246
positive regulation of caveolin-mediated endocytosis,8,1,0.04757007109425195,0.09383964287993246
regulation of postsynaptic neurotransmitter receptor diffusion trapping,8,1,0.04757007109425195,0.09383964287993246
regulation of generation of precursor metabolites and energy,8,1,0.04757007109425195,0.09383964287993246
negative regulation of cortisol biosynthetic process,8,1,0.04757007109425195,0.09383964287993246
endocardium formation,8,1,0.04757007109425195,0.09383964287993246
positive regulation of membrane hyperpolarization,8,1,0.04757007109425195,0.09383964287993246
mitral valve formation,8,1,0.04757007109425195,0.09383964287993246
myo-inositol hexakisphosphate biosynthetic process,8,1,0.04757007109425195,0.09383964287993246
regulation of CAMKK-AMPK signaling cascade,8,1,0.04757007109425195,0.09383964287993246
cardiac cell fate determination,8,1,0.04757007109425195,0.09383964287993246
positive regulation of plasma membrane repair,8,1,0.04757007109425195,0.09383964287993246
regulation of hormone metabolic process,8,1,0.04757007109425195,0.09383964287993246
mRNA stabilization,133,3,0.04794498375402073,0.0945480762933257
response to nutrient levels,323,5,0.04854442172627363,0.09569866416018855
non-canonical NF-kappaB signal transduction,58,2,0.04871082734730276,0.09574307350935223
embryonic digestive tract morphogenesis,58,2,0.04871082734730276,0.09574307350935223
eukaryotic translation initiation factor 4F complex,58,2,0.04871082734730276,0.09574307350935223
response to corticosterone,58,2,0.04871082734730276,0.09574307350935223
artery morphogenesis,58,2,0.04871082734730276,0.09574307350935223
high-density lipoprotein particle,58,2,0.04871082734730276,0.09574307350935223
actin nucleation,58,2,0.04871082734730276,0.09574307350935223
intrinsic apoptotic signaling pathway by p53 class mediator,58,2,0.04871082734730276,0.09574307350935223
lipoprotein transport,58,2,0.04871082734730276,0.09574307350935223
molecular condensate scaffold activity,135,3,0.049722024168458834,0.09769855733100392
glycosaminoglycan biosynthetic process,59,2,0.05022212273597564,0.09861648952975677
positive regulation of interferon-alpha production,59,2,0.05022212273597564,0.09861648952975677
stereocilium,136,3,0.050622456953222435,0.09933744911299121
positive regulation of actin filament polymerization,136,3,0.050622456953222435,0.09933744911299121
protein kinase inhibitor activity,137,3,0.0515307916679489,0.10102059289667625
keratinocyte differentiation,137,3,0.0515307916679489,0.10102059289667625
fungal-type cell wall organization,137,3,0.0515307916679489,0.10102059289667625
glial cell migration,60,2,0.051750154315210836,0.10111964077619648
tissue homeostasis,60,2,0.051750154315210836,0.10111964077619648
very-low-density lipoprotein particle,60,2,0.051750154315210836,0.10111964077619648
positive regulation of release of cytochrome c from mitochondria,60,2,0.051750154315210836,0.10111964077619648
lamellipodium membrane,60,2,0.051750154315210836,0.10111964077619648
regulation of protein-containing complex assembly,60,2,0.051750154315210836,0.10111964077619648
solute:inorganic anion antiporter activity,61,2,0.053294663533804236,0.10111964077619648
superoxide metabolic process,61,2,0.053294663533804236,0.10111964077619648
ficolin-1-rich granule membrane,61,2,0.053294663533804236,0.10111964077619648
Rap protein signal transduction,61,2,0.053294663533804236,0.10111964077619648
regulation of mRNA processing,61,2,0.053294663533804236,0.10111964077619648
cullin-RING ubiquitin ligase complex,61,2,0.053294663533804236,0.10111964077619648
deadenylation-dependent decapping of nuclear-transcribed mRNA,61,2,0.053294663533804236,0.10111964077619648
positive regulation of receptor-mediated endocytosis,61,2,0.053294663533804236,0.10111964077619648
muscular septum morphogenesis,9,1,0.05335513359149414,0.10111964077619648
negative regulation of actin nucleation,9,1,0.05335513359149414,0.10111964077619648
positive regulation of pentose-phosphate shunt,9,1,0.05335513359149414,0.10111964077619648
regulation of cholesterol transport,9,1,0.05335513359149414,0.10111964077619648
positive regulation of transforming growth factor beta1 production,9,1,0.05335513359149414,0.10111964077619648
myo-inositol transmembrane transporter activity,9,1,0.05335513359149414,0.10111964077619648
myofibroblast differentiation,9,1,0.05335513359149414,0.10111964077619648
negative regulation of 3'-UTR-mediated mRNA stabilization,9,1,0.05335513359149414,0.10111964077619648
plasma membrane signaling receptor complex,9,1,0.05335513359149414,0.10111964077619648
regulation of protein localization to centrosome,9,1,0.05335513359149414,0.10111964077619648
regulation of Ral protein signal transduction,9,1,0.05335513359149414,0.10111964077619648
regulation of Rap protein signal transduction,9,1,0.05335513359149414,0.10111964077619648
spermine transport,9,1,0.05335513359149414,0.10111964077619648
membrane repolarization during atrial cardiac muscle cell action potential,9,1,0.05335513359149414,0.10111964077619648
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,9,1,0.05335513359149414,0.10111964077619648
"dorsal closure, elongation of leading edge cells",9,1,0.05335513359149414,0.10111964077619648
neurotransmitter receptor transport postsynaptic membrane to endosome,9,1,0.05335513359149414,0.10111964077619648
insulin-like growth factor ternary complex,9,1,0.05335513359149414,0.10111964077619648
cardiac muscle cell fate commitment,9,1,0.05335513359149414,0.10111964077619648
positive regulation of hyaluronan biosynthetic process,9,1,0.05335513359149414,0.10111964077619648
protein localization to early endosome,9,1,0.05335513359149414,0.10111964077619648
corticospinal tract morphogenesis,9,1,0.05335513359149414,0.10111964077619648
ligand-modulated transcription factor activity,9,1,0.05335513359149414,0.10111964077619648
cartilage homeostasis,9,1,0.05335513359149414,0.10111964077619648
Wnt receptor catabolic process,9,1,0.05335513359149414,0.10111964077619648
guanyl nucleotide exchange factor activator activity,9,1,0.05335513359149414,0.10111964077619648
regulation of interleukin-8 production,9,1,0.05335513359149414,0.10111964077619648
negative regulation of lipid transport,9,1,0.05335513359149414,0.10111964077619648
positive regulation of follicle-stimulating hormone secretion,9,1,0.05335513359149414,0.10111964077619648
third ventricle development,9,1,0.05335513359149414,0.10111964077619648
nuclear receptor-mediated glucocorticoid signaling pathway,9,1,0.05335513359149414,0.10111964077619648
lung lobe morphogenesis,9,1,0.05335513359149414,0.10111964077619648
regulation of platelet-derived growth factor receptor-alpha signaling pathway,9,1,0.05335513359149414,0.10111964077619648
atrial cardiac muscle tissue development,9,1,0.05335513359149414,0.10111964077619648
atrial septum primum morphogenesis,9,1,0.05335513359149414,0.10111964077619648
cell differentiation in spinal cord,9,1,0.05335513359149414,0.10111964077619648
regulation of type B pancreatic cell development,9,1,0.05335513359149414,0.10111964077619648
negative regulation of muscle organ development,9,1,0.05335513359149414,0.10111964077619648
negative regulation of secretion,9,1,0.05335513359149414,0.10111964077619648
positive regulation of microglial cell mediated cytotoxicity,9,1,0.05335513359149414,0.10111964077619648
negative regulation of mast cell activation involved in immune response,9,1,0.05335513359149414,0.10111964077619648
platelet dense granule membrane,9,1,0.05335513359149414,0.10111964077619648
division septum assembly,9,1,0.05335513359149414,0.10111964077619648
regulation of membrane depolarization during cardiac muscle cell action potential,9,1,0.05335513359149414,0.10111964077619648
pH-gated sodium channel activity,9,1,0.05335513359149414,0.10111964077619648
oxidative stress-induced premature senescence,9,1,0.05335513359149414,0.10111964077619648
ovarian cumulus expansion,9,1,0.05335513359149414,0.10111964077619648
epithelial cell proliferation involved in salivary gland morphogenesis,9,1,0.05335513359149414,0.10111964077619648
negative regulation of satellite cell differentiation,9,1,0.05335513359149414,0.10111964077619648
cell differentiation involved in embryonic placenta development,9,1,0.05335513359149414,0.10111964077619648
mast cell chemotaxis,9,1,0.05335513359149414,0.10111964077619648
sympathetic neuron axon guidance,9,1,0.05335513359149414,0.10111964077619648
negative regulation of skeletal muscle satellite cell proliferation,9,1,0.05335513359149414,0.10111964077619648
"cellular response to 2,3,7,8-tetrachlorodibenzodioxine",9,1,0.05335513359149414,0.10111964077619648
ureteric bud formation,9,1,0.05335513359149414,0.10111964077619648
collagen type V trimer,9,1,0.05335513359149414,0.10111964077619648
calcium ion export,9,1,0.05335513359149414,0.10111964077619648
regulation of behavioral fear response,9,1,0.05335513359149414,0.10111964077619648
metanephric ascending thin limb development,9,1,0.05335513359149414,0.10111964077619648
